"시도별","시점","합계:면적[ha]","생산량[톤]","사과:면적[ha]","10a당 생산량[kg]","생산량[톤]","배:면적[ha]","10a당 생산량[kg]","생산량[톤]","복숭아:면적[ha]","10a당 생산량[kg]","생산량[톤]","포도:면적[ha]","10a당 생산량[kg]","생산량[톤]","감귤:면적[ha]","10a당 생산량[kg]","생산량[톤]","감:면적[ha]","10a당 생산량[kg]","생산량[톤]","단감:면적[ha]","10a당 생산량[kg]","생산량[톤]","떫은감:면적[ha]","10a당 생산량[kg]","생산량[톤]","자두:면적[ha]","10a당 생산량[kg]","생산량[톤]","매실:면적[ha]","10a당 생산량[kg]","생산량[톤]","기타:면적[ha]","10a당 생산량[kg]","생산량[톤]",
"계","2014 년","161888","2347279","30702","1546","474712","13127","2306","302731","15539","857","133124","16348","1401","228971","21338","3222","687516","27988","1174.85708","328819","12451","1409","175405","15537","987","153414","5662","779","44107","","","","31184","472","147299",
"계","2015 년","162944","2364233","31620","1843","582846","12664","2061","260975","16704","921","153882","15397","1453","223695","21265","3009","639892","27034","1122.75653","303526","11849","1333","157990","15185","958","145536","5920","835","49417","","","","32340","464","150000",
"계","2016 년","166473","2387183","33300","1731","576369","11164","2132","238014","19877","1044","207539","14946","1534","229284","21682","2813","609832","25060","1142.80926","286388","10002","1240","124020","15058","1078","162368","7033","907","63776","","","","33411","527","175981",
"계","2017 년","166957.1287","2357867","33600.6824","1623","545349","10860.5134","2447","265757","21029.9183","1057","222284","13107.1092","1452","190265","21586.9506","2767","597294","24749.4697","1205.60967","298382","9585.8902","1193","114330","15163.5795","1214","184052","7324.4875","857","62778","","","","34697.9976","507","175758",
"계","2018 년","164718.2273","2160457","33234.0913","1430","475303","10302.78","1972","203166","21087.4623","981","206889","12794.9188","1371","175399","21572.2102","2879","621154","23917.9935","1099.71599","263030","9108.0509","1146","104362","14809.9426","1071","158668","7266.0638","740","53794","","","","34542.7074","468","161722",
"계","2019 년","160570.831","2206348","32953.5377","1624","535324","9614.593","2088","200732","20635.6096","1019","210345","12675.9342","1311","166159","21179.6299","2974","629785","23000.2433","1125.52722","258874","8639.2721","1114","96271","14360.9712","1132","162603","7100.2544","720","51087","9384.7937","498","46723","24026.2352","447","107319",
"계","2020 년","156737.6175","1975538.3028","31597.751","1336","422115","9091.2714","1458","132580","20450.3369","924.47238367","189057.7170079733","13183.3324","1258.4496550096","165905.6011065721","21111.0677","3120.9165947899","658858.8151866306","21982.0279","904.4543408995","198817.4055592952","8404.2849","1063.1927005313","89353.7435886545","13577.743","806.1992480683","109463.6619706407","7314.9912","683.9054507802","50027.6235408956","8486.6798","472.7679757101","40122.3042954611","23520.1592","501.9261778302","118053.8360921309",
"계","2021 년","153405.4677","2109490","34358.649","1502","515931","9674.8249","2174","210293","19474.8306","986","192094","13348.5199","1260","168150","22028.9451","2886","635835","20882.4699","960.6622","200610","8899.3588","1123","99918","11983.1111","840","100692","6656.8803","755","50257","6256.4544","483","30191","20723.8936","512","106129",
"서울특별시","1980 년","154.8","1292.4","","","","104.2","869","905.5","2.3","735","16.9","46.5","777","361.3","","","","","","","","","","","","","","","","","","","1.8","486","8.7",
"서울특별시","1981 년","182","1740","","","","132","1022","1349","3","750","23","47","783","368","","","","","","","","","","","","","","","","","","","","","",
"서울특별시","1982 년","141","1514","2","541","11","96","1143","1097","7","985","69","35","962","337","","","","","","","","","","","","","","","","","","","1","0","0",
"서울특별시","1983 년","107","1340","15","416","62","78","1498","1168","4","811","32","10","782","78","","","","","","","","","","","","","","","","","","","","","",
"서울특별시","1984 년","80","1238","6","1517","91","59","1771","1045","3","1300","39","12","525","63","","","","","","","","","","","","","","","","","","","","","",
"서울특별시","1985 년","119","1367","30","327","98","64","1605","1027","8","1213","97","15","967","145","","","","","","","","","","","","","","","","","","","2","","",
"서울특별시","1986 년","85","1517","4","1862","74","59","1964","1159","1","1305","13","18","1350","243","","","","","","","","","","","","","","","","","","","3","921","28",
"서울특별시","1987 년","137","2732","2","1787","36","86","2368","2036","","","","45","1395","628","","","","","","","","","","","","","","","","","","","4","809","32",
"서울특별시","1988 년","105","2628","2","2149","43","86","2705","2326","11","1574","173","6","1433","86","","","","","","","","","","","","","","","","","","","","","",
"서울특별시","1989 년","107","2828","3","2467","74","85","2963","2519","11","1315","145","8","1128","90","","","","0","","","","","","","","","","","","","","","","","",
"서울특별시","1990 년","79","1645","3","","","58","2519","1461","9","670","60","8","1370","110","","","","","","","","","","","","","","","","","","","1","1358","14",
"서울특별시","1991 년","103","1708","","","","79","1918","1515","8","800","64","7","1316","92","","","","","","","","","","","","","1","713","7","","","","8","372","30",
